Rj,Fig2ne,ne^.5,"(ne^,5)x25"
7.45E+00,688.0375323,26.23046954,655.7617385
7.46E+00,683.0857876,26.13590993,653.3977481
7.47E+00,678.1792814,26.04187554,651.0468884
7.48E+00,673.3175222,25.94836261,648.7090653
7.49E+00,668.5000245,25.85536742,646.3841856
7.50E+00,663.7263091,25.76288627,644.0721568
7.51E+00,658.9959025,25.6709155,641.7728874
7.52E+00,654.3083371,25.57945146,639.4862866
7.53E+00,649.6631514,25.48849057,637.2122642
7.54E+00,645.0598892,25.39802924,634.9507309
7.55E+00,640.4981001,25.30806394,632.7015984
7.56E+00,635.9773395,25.21859115,630.4647787
7.57E+00,631.4971678,25.12960739,628.2401848
7.58E+00,627.0571511,25.04110922,626.0277306
7.59E+00,622.6568609,24.95309321,623.8273303
7.60E+00,618.2958737,24.86555597,621.6388993
7.61E+00,613.9737714,24.77849413,619.4623533
7.62E+00,609.6901409,24.69190436,617.297609
7.63E+00,605.4445741,24.60578335,615.1445837
7.64E+00,601.236668,24.52012781,613.0031953
7.65E+00,597.0660244,24.43493451,610.8733627
7.66E+00,592.9322501,24.35020021,608.7550052
7.67E+00,588.8349564,24.26592171,606.6480427
7.68E+00,584.7737594,24.18209584,604.5523961
7.69E+00,580.7482801,24.09871947,602.4679867
7.70E+00,576.7581437,24.01578947,600.3947367
7.71E+00,572.8029801,23.93330274,598.3325685
7.72E+00,568.8824237,23.85125623,596.2814057
7.73E+00,564.9961132,23.76964689,594.2411722
7.74E+00,561.1436917,23.6884717,592.2117926
7.75E+00,557.3248065,23.60772769,590.1931922
7.76E+00,553.5391092,23.52741187,588.1852967
7.77E+00,549.7862555,23.44752131,586.1880327
7.78E+00,546.0659052,23.36805309,584.2013273
7.79E+00,542.3777223,23.28900432,582.225108
7.80E+00,537.2197334,23.17800107,579.4500267
7.81E+00,530.6259845,23.03532037,575.8830092
7.82E+00,522.6298058,22.86109809,571.5274522
7.83E+00,514.7662399,22.6884605,567.2115125
7.84E+00,507.0328915,22.51739087,562.9347717
7.85E+00,499.427412,22.34787265,558.6968163
7.86E+00,491.9474986,22.17988951,554.4972377
7.87E+00,484.5908931,22.01342529,550.3356323
7.88E+00,477.3553816,21.84846406,546.2116014
7.89E+00,470.2387926,21.68499003,542.1247507
7.90E+00,463.238997,21.52298764,538.074691
7.91E+00,456.3539068,21.3624415,534.0610375
7.92E+00,449.5814742,21.20333639,530.0834098
7.93E+00,442.9196911,21.0456573,526.1414324
7.94E+00,436.3665879,20.88938936,522.234734
7.95E+00,429.9202329,20.73451791,518.3629477
7.96E+00,423.5787316,20.58102844,514.525711
7.97E+00,417.3402257,20.42890662,510.7226655
7.98E+00,411.2028925,20.27813829,506.9534572
7.99E+00,405.1649441,20.12870945,503.2177362
8.00E+00,399.2246269,19.98060627,499.5151568
8.01E+00,393.3802207,19.83381508,495.845377
8.02E+00,387.6300378,19.68832237,492.2080593
8.03E+00,381.9724229,19.54411479,488.6028697
8.04E+00,376.4057519,19.40117914,485.0294784
8.05E+00,370.9284316,19.25950237,481.4875593
8.06E+00,365.538899,19.1190716,477.9767901
8.07E+00,360.2356205,18.97987409,474.4968523
8.08E+00,355.0170916,18.84189724,471.047431
8.09E+00,349.8818361,18.7051286,467.6282151
8.10E+00,344.8284055,18.56955588,464.2388969
8.11E+00,339.8553786,18.4351669,460.8791725
8.12E+00,334.961361,18.30194965,457.5487413
8.13E+00,330.1449843,18.16989225,454.2473062
8.14E+00,325.4049057,18.03898294,450.9745736
8.15E+00,320.7398075,17.90921013,447.7302533
8.16E+00,316.1483967,17.78056233,444.5140582
8.17E+00,311.6294043,17.65302819,441.3257048
8.18E+00,307.1815851,17.52659651,438.1649126
8.19E+00,302.8037167,17.40125618,435.0314045
8.20E+00,298.4945997,17.27699626,431.9249064
8.21E+00,294.2530568,17.1538059,428.8451475
8.22E+00,290.0779326,17.03167439,425.7918598
8.23E+00,285.9680929,16.91059114,422.7647786
8.24E+00,281.9224245,16.79054569,419.7636422
8.25E+00,277.9398349,16.67152767,416.7881918
8.26E+00,274.0192514,16.55352686,413.8381714
8.27E+00,270.1596212,16.43653313,410.9133281
8.28E+00,266.3599108,16.32053648,408.0134119
8.29E+00,262.6191058,16.20552701,405.1381753
8.30E+00,258.93621,16.09149496,402.2873739
8.31E+00,255.3102457,15.97843064,399.460766
8.32E+00,251.7402531,15.8663245,396.6581125
8.33E+00,248.2252897,15.75516708,393.879177
8.34E+00,244.7644302,15.64494903,391.1237258
8.35E+00,241.3567662,15.53566111,388.3915278
8.36E+00,238.0014058,15.42729418,385.6823546
8.37E+00,234.6974733,15.31983921,382.9959801
8.38E+00,231.4441086,15.21328724,380.332181
8.39E+00,228.2404676,15.10762945,377.6907362
8.40E+00,225.0857209,15.00285709,375.0714273
8.41E+00,221.9790546,14.89896153,372.4740382
8.42E+00,218.9196692,14.79593421,369.8983553
8.43E+00,215.9067794,14.69376669,367.3441671
8.44E+00,212.9396143,14.59245059,364.8112649
8.45E+00,210.0174168,14.49197767,362.2994418
8.46E+00,207.1394432,14.39233974,359.8084935
8.47E+00,204.3049632,14.29352872,357.3382179
8.48E+00,201.5132595,14.19553661,354.8884151
8.49E+00,198.7636277,14.0983555,352.4588874
8.50E+00,196.0553759,14.00197757,350.0494392
8.51E+00,193.3878244,13.90639509,347.6598772
8.52E+00,190.7603057,13.8116004,345.2900101
8.53E+00,188.1721641,13.71758594,342.9396486
8.54E+00,185.6227556,13.62434423,340.6086057
8.55E+00,183.1114475,13.53186785,338.2966962
8.56E+00,180.6376183,13.44014949,336.0037372
8.57E+00,178.2006575,13.3491819,333.7295476
8.58E+00,175.7999653,13.25895793,331.4739482
8.59E+00,173.4349526,13.16947048,329.2367619
8.60E+00,171.1050405,13.08071254,327.0178134
8.61E+00,168.8096602,12.99267718,324.8169294
8.62E+00,166.5482532,12.90535754,322.6339385
8.63E+00,164.3202705,12.81874684,320.4686709
8.64E+00,162.1251727,12.73283836,318.320959
8.65E+00,159.96243,12.64762547,316.1906367
8.66E+00,157.8315216,12.56310159,314.0775398
8.67E+00,155.7319361,12.47926024,311.9815059
8.68E+00,153.6631706,12.39609497,309.9023743
8.69E+00,151.6247312,12.31359944,307.839986
8.70E+00,149.6161325,12.23176735,305.7941838
8.71E+00,147.6368976,12.15059248,303.764812
8.72E+00,145.6865577,12.07006867,301.7517167
8.73E+00,143.7646521,11.99018983,299.7547457
8.74E+00,141.8707282,11.91094993,297.7737482
8.75E+00,140.004341,11.83234301,295.8085752
8.76E+00,138.1650534,11.75436317,293.8590792
8.77E+00,136.3524357,11.67700457,291.9251142
8.78E+00,134.5660655,11.60026144,290.006536
8.79E+00,132.8055276,11.52412806,288.1032016
8.80E+00,131.0704142,11.44859879,286.2149697
8.81E+00,129.3603243,11.37366802,284.3417005
8.82E+00,127.6748635,11.29933022,282.4832556
8.83E+00,126.0136446,11.22557992,280.639498
8.84E+00,124.3762866,11.15241169,278.8102924
8.85E+00,122.7624152,11.07982018,276.9955045
8.86E+00,121.1716624,11.00780007,275.1950018
8.87E+00,119.6036665,10.93634612,273.4086531
8.88E+00,118.0580718,10.86545313,271.6363283
8.89E+00,116.5345286,10.79511596,269.8778991
8.90E+00,115.0326934,10.72532952,268.1332381
8.91E+00,113.5522281,10.65608878,266.4022196
8.92E+00,112.0928007,10.58738876,264.6847189
8.93E+00,110.6540844,10.51922451,262.9806129
8.94E+00,109.2357582,10.45159118,261.2897795
8.95E+00,107.8375062,10.38448392,259.6120979
8.96E+00,106.4590182,10.31789796,257.9474489
8.97E+00,105.0999888,10.25182856,256.295714
8.98E+00,103.760118,10.18627105,254.6567764
8.99E+00,102.4391106,10.1212208,253.0305201
9.00E+00,101.1366764,10.05667323,251.4168306
9.01E+00,99.85253004,9.992623781,249.8155945
9.02E+00,98.58639096,9.929067981,248.2266995
9.03E+00,97.33798321,9.866001379,246.6500345
9.04E+00,96.10703543,9.803419578,245.0854895
9.05E+00,94.89328073,9.741318224,243.5329556
9.06E+00,93.6964567,9.679693006,241.9923252
9.07E+00,92.51630521,9.618539661,240.4634915
9.08E+00,91.35257244,9.557853966,238.9463492
9.09E+00,90.20500872,9.497631743,237.4407936
9.10E+00,89.07336851,9.437868854,235.9467214
9.11E+00,87.95741032,9.378561208,234.4640302
9.12E+00,86.85689662,9.319704749,232.9926187
9.13E+00,85.77159375,9.261295468,231.5323867
9.14E+00,84.70127193,9.203329394,230.0832348
9.15E+00,83.64570511,9.145802595,228.6450649
9.16E+00,82.60467094,9.088711181,227.2177795
9.17E+00,81.5779507,9.032051301,225.8012825
9.18E+00,80.56532925,8.975819141,224.3954785
9.19E+00,79.56659493,8.920010927,223.0002732
9.20E+00,78.58153955,8.864622922,221.6155731
9.21E+00,77.60995829,8.809651428,220.2412857
9.22E+00,76.65164964,8.755092783,218.8773196
9.23E+00,75.70641539,8.700943362,217.5235841
9.24E+00,74.7740605,8.647199576,216.1799894
9.25E+00,73.85439311,8.593857871,214.8464468
9.26E+00,72.94722444,8.540914731,213.5228683
9.27E+00,72.05236878,8.488366673,212.2091668
9.28E+00,71.16964337,8.436210249,210.9052562
9.29E+00,70.29886843,8.384442047,209.6110512
9.30E+00,69.43986705,8.333058685,208.3264671
9.31E+00,68.59246515,8.282056819,207.0514205
9.32E+00,67.75649146,8.231433136,205.7858284
9.33E+00,66.93177745,8.181184355,204.5296089
9.34E+00,66.11815725,8.131307229,203.2826807
9.35E+00,65.31546769,8.081798543,202.0449636
9.36E+00,64.52354815,8.032655112,200.8163778
9.37E+00,63.74224062,7.983873786,199.5968446
9.38E+00,62.97138957,7.935451441,198.386286
9.39E+00,62.21084194,7.887384987,197.1846247
9.40E+00,61.46044711,7.839671365,195.9917841
