YMD,startHMS,startSSM(s),stopSSM(s),idnum,dispersionConstant,burstOrSurvey,electricOrMagnetic,altitude(km),radius(RJ),mshell,mlat(deg),lat(deg),jovigraphic_latitude(deg),centrifugal_latitude(deg),mlt(hours),lt(hours),io_phase(deg),longitude(deg),footlat(deg),footlon(deg)
20200725,023603.000,9363,9373,51,2185.659,Survey,Magnetic,325127,5.5378,6.2502,18.739,23.792,24.282,21.2127,21.9087,22.12,58.983,314.08,72.025,289.214
20200725,023612.000,9372,9379,52,2689.503,Survey,Electric,324964,5.5355,6.2476,18.737,23.803,24.2933,21.2152,21.9074,22.12,59.004,314.155,72.026,289.311
20200725,023629.000,9389,9400,53,3173.976,Survey,Electric,324552,5.5296,6.2409,18.734,23.832,24.3217,21.2215,21.9042,22.12,59.058,314.345,72.029,289.557
20200725,023640.000,9400,9406,54,1010.319,Survey,Electric,324368,5.527,6.238,18.733,23.845,24.3345,21.2243,21.9028,22.12,59.082,314.43,72.03,289.666
20200725,023649.000,9409,9424,55,5135.019,Survey,Electric,324076,5.5228,6.2332,18.731,23.865,24.3547,21.2288,21.9006,22.12,59.12,314.565,72.032,289.841
20200725,023701.000,9421,9424,56,739.63,Survey,Electric,323946,5.5209,6.2312,18.73,23.874,24.3642,21.2312,21.9,22.12,59.137,314.629,72.033,289.918
20200725,023704.000,9424,9426,57,779.404,Survey,Electric,323892,5.5201,6.2303,18.73,23.878,24.3683,21.2325,21.9,22.12,59.144,314.658,72.034,289.95
20200725,023840.000,9520,9526,58,908.683,Survey,Electric,321768,5.4897,6.197,18.723,24.024,24.5245,21.2815,21.9,22.12,59.422,315.73,72.048,291.202
20200725,023840.000,9520,9525,58,925.597,Survey,Magnetic,321779,5.4898,6.1971,18.723,24.024,24.5237,21.2812,21.9,22.12,59.42,315.725,72.048,291.195
20200725,023904.000,9544,9553,59,2207.835,Survey,Electric,321202,5.4818,6.1882,18.72,24.064,24.5642,21.2928,21.9,22.12,59.494,315.985,72.052,291.525
20200725,023904.000,9544,9548,59,1762.477,Survey,Magnetic,321260,5.4825,6.189,18.72,24.06,24.56,21.292,21.9,22.12,59.487,315.96,72.052,291.494
20200725,023928.000,9568,9574,60,3274.49,Survey,Electric,320677,5.4747,6.1807,18.72,24.102,24.6017,21.3003,21.9,22.11,59.558,316.21,72.055,291.809
20200725,024141.000,9701,9711,61,1008.412,Survey,Electric,317703,5.4327,6.1347,18.72,24.309,24.8267,21.363,21.9,22.11,59.94,317.66,72.074,293.5
20200725,024141.000,9701,9709,61,955.428,Survey,Magnetic,317725,5.433,6.135,18.72,24.307,24.825,21.3625,21.9,22.11,59.938,317.65,72.074,293.487
20200725,024203.000,9723,9738,62,1963.399,Survey,Electric,317155,5.425,6.1265,18.72,24.347,24.8658,21.3753,21.8982,22.11,60.01,317.905,72.077,293.804
20200725,024203.000,9723,9736,62,1859.543,Survey,Magnetic,317178,5.4253,6.1268,18.72,24.346,24.8643,21.3747,21.8984,22.11,60.007,317.895,72.077,293.791
20200725,024222.000,9742,9751,63,1056.471,Survey,Electric,316782,5.42,6.1212,18.72,24.374,24.8898,21.3833,21.8956,22.11,60.055,318.065,72.08,294.001
20200725,024223.000,9743,9750,63,1050.332,Survey,Magnetic,316782,5.42,6.1212,18.72,24.374,24.8898,21.3833,21.8956,22.11,60.055,318.065,72.08,294.001
20200725,024227.000,9747,9761,64,2891.396,Survey,Electric,316607,5.4177,6.1187,18.72,24.387,24.901,21.387,21.8943,22.11,60.076,318.14,72.081,294.094
20200725,024227.000,9747,9761,64,2703.103,Survey,Magnetic,316607,5.4177,6.1187,18.72,24.387,24.901,21.387,21.8943,22.11,60.076,318.14,72.081,294.094
20200725,024227.000,9747,9753,65,929.157,Survey,Electric,316700,5.4189,6.12,18.72,24.38,24.895,21.385,21.895,22.11,60.065,318.1,72.08,294.044
20200725,024227.000,9747,9753,65,898.867,Survey,Magnetic,316700,5.4189,6.12,18.72,24.38,24.895,21.385,21.895,22.11,60.065,318.1,72.08,294.044
20200725,024245.000,9765,9777,66,2040.28,Survey,Electric,316210,5.4123,6.113,18.72,24.415,24.9265,21.3955,21.8915,22.11,60.124,318.31,72.083,294.304
20200725,024247.000,9767,9776,66,2070.307,Survey,Magnetic,316198,5.4122,6.1128,18.72,24.416,24.9273,21.3957,21.8914,22.11,60.126,318.315,72.083,294.31
20200725,024355.000,9835,9844,67,1047.56,Survey,Electric,314711,5.3909,6.0892,18.72,24.519,25.0392,21.4397,21.89,22.11,60.319,319.094,72.093,295.144
20200725,024355.000,9835,9843,67,889.667,Survey,Magnetic,314722,5.3911,6.0894,18.72,24.518,25.0383,21.4393,21.89,22.11,60.317,319.088,72.093,295.138
20200725,024418.000,9858,9869,68,1894.704,Survey,Electric,314191,5.3834,6.0812,18.724,24.559,25.0792,21.4518,21.89,22.11,60.387,319.335,72.097,295.436
20200725,024418.000,9858,9869,68,1999.662,Survey,Magnetic,314191,5.3834,6.0812,18.724,24.559,25.0792,21.4518,21.89,22.11,60.387,319.335,72.097,295.436
20200725,024620.000,9980,9985,69,1071.922,Survey,Electric,311512,5.346,6.0415,18.734,24.754,25.2775,21.515,21.89,22.1,60.724,320.562,72.116,296.875
20200725,024620.000,9980,9986,69,1116.459,Survey,Magnetic,311502,5.3459,6.0413,18.734,24.755,25.2783,21.5153,21.89,22.1,60.725,320.568,72.116,296.881
20200725,024813.000,10093,10100,70,1063.822,Survey,Electric,308942,5.3101,6.0035,18.753,24.938,25.4703,21.5882,21.89,22.1,61.05,321.793,72.137,298.234
